지점번호,지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,
108,서울,2020-01-01,0.1,,,
108,서울,2020-01-02,,,,
108,서울,2020-01-03,,,,
108,서울,2020-01-04,,,,
108,서울,2020-01-05,,,,
108,서울,2020-01-06,1.8,,,
108,서울,2020-01-07,46.3,,,
108,서울,2020-01-08,11.6,,,
108,서울,2020-01-09,,,,
108,서울,2020-01-10,,,,
108,서울,2020-01-11,,,,
108,서울,2020-01-12,,,,
108,서울,2020-01-13,,,,
108,서울,2020-01-14,,,,
108,서울,2020-01-15,,,,
108,서울,2020-01-16,,,,
108,서울,2020-01-17,,,,
108,서울,2020-01-18,,,,
108,서울,2020-01-19,0.6,,,
108,서울,2020-01-20,,,,
108,서울,2020-01-21,,,,
108,서울,2020-01-22,,,,
108,서울,2020-01-23,,,,
108,서울,2020-01-24,,,,
108,서울,2020-01-25,,,,
108,서울,2020-01-26,,,,
108,서울,2020-01-27,0.1,,,
108,서울,2020-01-28,0,,,
108,서울,2020-01-29,,,,
108,서울,2020-01-30,,,,
108,서울,2020-01-31,0,,,
108,서울,2020-02-01,,,,
108,서울,2020-02-02,,,,
108,서울,2020-02-03,0,,,
108,서울,2020-02-04,1.7,,,
108,서울,2020-02-05,,,,
108,서울,2020-02-06,,,,
108,서울,2020-02-07,0,,,
108,서울,2020-02-08,0,,,
108,서울,2020-02-09,0,,,
108,서울,2020-02-10,0,,,
108,서울,2020-02-11,,,,
108,서울,2020-02-12,6.7,,,
108,서울,2020-02-13,,,,
108,서울,2020-02-14,,,,
108,서울,2020-02-15,2,,,
108,서울,2020-02-16,13.4,,,
108,서울,2020-02-17,1,,,
108,서울,2020-02-18,,,,
108,서울,2020-02-19,,,,
108,서울,2020-02-20,,,,
108,서울,2020-02-21,4.2,,,
108,서울,2020-02-22,3.1,,,
108,서울,2020-02-23,,,,
108,서울,2020-02-24,,,,
108,서울,2020-02-25,16.6,,,
108,서울,2020-02-26,0,,,
108,서울,2020-02-27,,,,
108,서울,2020-02-28,3.9,,,
108,서울,2020-02-29,0.5,,,
108,서울,2020-03-01,0.2,,,
108,서울,2020-03-02,0,,,
108,서울,2020-03-03,,,,
108,서울,2020-03-04,0,,,
108,서울,2020-03-05,,,,
108,서울,2020-03-06,,,,
108,서울,2020-03-07,,,,
108,서울,2020-03-08,,,,
108,서울,2020-03-09,,,,
108,서울,2020-03-10,11.8,,,
108,서울,2020-03-11,,,,
108,서울,2020-03-12,,,,
108,서울,2020-03-13,0.5,,,
108,서울,2020-03-14,,,,
108,서울,2020-03-15,,,,
108,서울,2020-03-16,,,,
108,서울,2020-03-17,,,,
108,서울,2020-03-18,,,,
108,서울,2020-03-19,0,,,
108,서울,2020-03-20,,,,
108,서울,2020-03-21,,,,
108,서울,2020-03-22,,,,
108,서울,2020-03-23,,,,
108,서울,2020-03-24,,,,
108,서울,2020-03-25,,,,
108,서울,2020-03-26,1.8,,,
108,서울,2020-03-27,2,,,
108,서울,2020-03-28,,,,
108,서울,2020-03-29,,,,
108,서울,2020-03-30,,,,
108,서울,2020-03-31,,,,
108,서울,2020-04-01,,,,
108,서울,2020-04-02,,,,
108,서울,2020-04-03,,,,
108,서울,2020-04-04,,,,
108,서울,2020-04-05,,,,
108,서울,2020-04-06,,,,
108,서울,2020-04-07,,,,
108,서울,2020-04-08,,,,
108,서울,2020-04-09,,,,
108,서울,2020-04-10,,,,
108,서울,2020-04-11,,,,
108,서울,2020-04-12,,,,
108,서울,2020-04-13,,,,
108,서울,2020-04-14,,,,
108,서울,2020-04-15,,,,
108,서울,2020-04-16,,,,
108,서울,2020-04-17,6.5,3.9,12:38,
108,서울,2020-04-18,,,,
108,서울,2020-04-19,10.3,2.9,17:12,
108,서울,2020-04-20,0.1,0.1,,
108,서울,2020-04-21,,,,
